,FROM STATION ID,FROM STATION NAME,FROM LONGITUDE,FROM LATITUDE
0,156,Clark St & Wellington Ave,-87.64753865799999,41.936496821999995
1,303,Broadway & Cornelia Ave,-87.64598000000001,41.945512
2,295,Broadway & Argyle St,-87.659637,41.972972
3,419,Lake Park Ave & 53rd St,-87.586449896,41.799494294
5,191,Canal St & Monroe St (*),-87.63946999999999,41.8807
6,374,Western Ave & Walton St,-87.68659601600001,41.898417689
7,148,State St & 33rd St,-87.625813,41.834734000000005
8,30,Ashland Ave & Augusta Blvd,-87.6677,41.899643
9,359,Larrabee St & Division St,-87.643353494,41.90348607
10,110,Dearborn St & Erie St,-87.62931800000001,41.893992
11,98,LaSalle St & Washington St,-87.63253,41.882664
12,220,Hampden Ct & Diversey Pkwy,-87.642385,41.93262
13,87,Racine Ave & Fullerton Ave,-87.65840426,41.92556258
14,282,Halsted St & Maxwell St,-87.647071,41.864883
15,293,Broadway & Wilson Ave,-87.657238,41.965485
16,243,Lincoln Ave & Leavitt St,-87.684146,41.962391
17,364,Larrabee St & Oak St,-87.64298546799999,41.900219493
18,423,University Ave & 57th St,-87.599861,41.791478000000005
21,120,Wentworth Ave & Archer Ave,-87.631886,41.853605
22,135,Halsted St & 21st St,-87.64665,41.85378
23,131,Lincoln Ave & Belmont Ave,-87.668385,41.939365
24,56,Desplaines St & Kinzie St,-87.64444785299999,41.888716036
25,118,Sedgwick St & North Ave,-87.638677,41.911386
27,57,Clinton St & Roosevelt Rd,-87.64108795899999,41.867117782
28,198,Green St & Madison St,-87.64878900000001,41.881892
29,321,Wabash Ave & 8th St,-87.62610600000001,41.871961999999996
30,296,Broadway & Belmont Ave,-87.645451,41.940106
31,312,Clarendon Ave & Gordon Ter,-87.649519,41.957879
32,119,Ashland Ave & Lake St,-87.66731999999999,41.88541
33,217,May St & Fulton St,-87.656001,41.886773
34,49,Dearborn St & Monroe St,-87.629520919,41.881319815
35,376,Artesian Ave & Hubbard St,-87.688219365,41.88949182
38,127,Lincoln Ave & Fullerton Ave,-87.64926,41.925905
39,133,Kingsbury St & Kinzie St,-87.638505772,41.889176833
40,458,Broadway & Thorndale Ave,-87.66014062100001,41.989742510999996
41,212,Orleans St & Ohio St,-87.63426199999999,41.889933
42,181,LaSalle St & Illinois St,-87.63206,41.890749
43,190,Southport Ave & Wrightwood Ave,-87.66317,41.92888
44,465,Marine Dr & Ainslie St,-87.650154,41.9716
45,394,Clark St & 9th St (AMLI),-87.63124599999999,41.870816
46,144,Larrabee St & Webster Ave,-87.64414000000001,41.921822
47,92,Carpenter St & Huron St,-87.653449,41.894556
48,96,Desplaines St & Randolph St,-87.644570585,41.88461619
49,43,Michigan Ave & Washington St,-87.624649141,41.883892766
50,350,Ashland Ave & Chicago Ave,-87.66774699999999,41.895965999999994
51,337,Clark St & Chicago Ave,-87.630931,41.896544
